"","match_id","player","pts","ptsWon","aces","ptsWonLte3Shots","wide","body","t","snvPts","snvPtsWon","nonSnvPts","nonSnvPtsWon"
"2530","19921031-M-Stockholm_Masters-SF-Guy_Forget-Pete_Sampras",2,74,60,14,43,30,4,40,26,21,48,39
"2531","20100110-M-Doha-F-Rafael_Nadal-Nikolay_Davydenko",1,91,56,0,20,44,15,32,1,1,88,55
"2532","20100110-M-Doha-F-Rafael_Nadal-Nikolay_Davydenko",2,99,57,2,21,48,16,35,0,0,0,0
"2533","19930516-M-Rome_Masters-F-Jim_Courier-Goran_Ivanisevic",1,78,52,4,22,41,13,24,0,0,0,0
"2534","19930516-M-Rome_Masters-F-Jim_Courier-Goran_Ivanisevic",2,77,39,6,26,34,19,23,5,2,67,37
"2535","20180715-M-Wimbledon-F-Kevin_Anderson-Novak_Djokovic",1,80,49,10,28,24,17,39,4,3,71,46
"2536","20180715-M-Wimbledon-F-Kevin_Anderson-Novak_Djokovic",2,94,69,6,37,42,9,43,0,0,0,0
"2537","20100903-M-US_Open-SF-Novak_Djokovic-Roger_Federer",1,151,100,4,40,47,48,56,0,0,0,0
"2538","20100903-M-US_Open-SF-Novak_Djokovic-Roger_Federer",2,160,97,11,49,70,36,54,3,2,152,95
"2539","20010827-M-US_Open-R128-Mike_Bryan-Andre_Agassi",1,80,36,3,27,22,25,18,40,22,34,14
"2540","20010827-M-US_Open-R128-Mike_Bryan-Andre_Agassi",2,59,42,8,31,17,4,20,0,0,0,0
"2541","20180729-M-Atlanta-F-John_Isner-Ryan_Harrison",1,102,70,21,58,42,25,35,2,1,97,69
"2542","20180729-M-Atlanta-F-John_Isner-Ryan_Harrison",2,84,59,10,33,23,26,35,1,1,80,58
"2543","20110115-M-Sydney-F-Gilles_Simon-Viktor_Troicki",1,86,47,3,16,39,17,30,0,0,0,0
"2544","20110115-M-Sydney-F-Gilles_Simon-Viktor_Troicki",2,82,43,5,21,37,22,23,2,2,77,41
"2545","20180718-M-Bastad-R16-Matteo_Berrettini-Henri_Laaksonen",1,48,24,4,19,11,12,25,0,0,0,0
"2546","20180718-M-Bastad-R16-Matteo_Berrettini-Henri_Laaksonen",2,48,34,3,11,15,13,20,0,0,0,0
"2547","20180722-M-Bastad-F-Fabio_Fognini-Richard_Gasquet",1,83,53,5,22,18,35,30,0,0,0,0
"2548","20180722-M-Bastad-F-Fabio_Fognini-Richard_Gasquet",2,69,41,3,18,33,11,25,3,0,65,41
"2549","20170614-M-Stuttgart-R16-Tommy_Haas-Roger_Federer",1,107,67,12,41,63,8,36,3,2,97,65
"2550","20170614-M-Stuttgart-R16-Tommy_Haas-Roger_Federer",2,94,65,23,47,43,10,40,15,10,77,55
"2551","20180704-M-Wimbledon-R64-Lukas_Lacko-Roger_Federer",1,90,51,6,34,38,20,32,0,0,0,0
"2552","20180704-M-Wimbledon-R64-Lukas_Lacko-Roger_Federer",2,61,52,15,39,29,5,27,6,3,55,49
"2553","20180702-M-Wimbledon-R128-Dusan_Lajovic-Roger_Federer",1,83,44,0,20,40,18,25,0,0,0,0
"2554","20180702-M-Wimbledon-R128-Dusan_Lajovic-Roger_Federer",2,61,50,7,32,26,6,29,6,5,54,45
"2555","20180706-M-Wimbledon-R32-Roger_Federer-Jan_Lennard_Struff",1,74,60,10,43,35,7,32,2,1,70,59
"2556","20180706-M-Wimbledon-R32-Roger_Federer-Jan_Lennard_Struff",2,100,58,11,39,36,26,38,14,9,80,49
"2557","20180607-M-Roland_Garros-QF-Marin_Cilic-Juan_Martin_Del_Potro",1,153,92,18,52,89,18,46,1,0,147,92
"2558","20180607-M-Roland_Garros-QF-Marin_Cilic-Juan_Martin_Del_Potro",2,141,98,19,63,58,22,61,0,0,0,0
"2559","20040807-M-Cincinnati_Masters-SF-Lleyton_Hewitt-Tommy_Robredo",1,42,36,7,26,21,6,15,0,0,0,0
"2560","20040807-M-Cincinnati_Masters-SF-Lleyton_Hewitt-Tommy_Robredo",2,41,24,5,14,14,11,16,0,0,0,0
"2561","20170119-M-Australian_Open-R64-Novak_Djokovic-Denis_Istomin",1,183,120,14,60,74,40,68,0,0,0,0
"2562","20170119-M-Australian_Open-R64-Novak_Djokovic-Denis_Istomin",2,188,116,17,62,72,42,74,1,1,184,115
"2563","20011117-M-Masters_Cup-SF-Juan_Carlos_Ferrero-Lleyton_Hewitt",1,59,34,2,21,26,5,28,0,0,0,0
