"","match_id","date","player1","player2","tournament","court","surface"
"1676","20151104-M-Paris_Masters-R32-Andreas_Seppi-Roger_Federer",2015-11-04,"Andreas Seppi","Roger Federer","Paris Masters","Centre","Hard"
"1677","20151104-M-Paris-R32-Roberto_Bautista_Agut-Jo_Wilfried_Tsonga",2015-11-04,"Roberto Bautista Agut","Jo Wilfried Tsonga","Paris","Centre","Hard"
"1678","20151104-M-Paris-R32-Andy_Murray-Borna_Coric",2015-11-04,"Andy Murray","Borna Coric","Paris","Centre","Hard"
"1679","20151103-M-Paris-R32-Edouard_Roger_Vasselin-Ivo_Karlovic",2015-11-03,"Edouard Roger Vasselin","Ivo Karlovic","Paris","Court 1","Hard"
"1680","20151102-M-Canberra_CH-R32-Sebastian_Fanselow-Christopher_Oconnell",2015-11-02,"Sebastian Fanselow","Christopher Oconnell","Canberra CH","","Hard"
"1681","20151101-M-Valencia-F-Roberto_Bautista_Agut-Joao_Sousa",2015-11-01,"Roberto Bautista Agut","Joao Sousa","Valencia","","Hard"
"1682","20151101-M-Basel-F-Rafael_Nadal-Roger_Federer",2015-11-01,"Rafael Nadal","Roger Federer","Basel","","Hard"
"1683","20151031-M-Basel-SF-Roger_Federer-Jack_Sock",2015-10-31,"Roger Federer","Jack Sock","Basel","Centre","Hard"
"1684","20151031-M-Basel-SF-Rafael_Nadal-Richard_Gasquet",2015-10-31,"Rafael Nadal","Richard Gasquet","Basel","Centre","Hard"
"1685","20151030-M-Basel-QF-Roger_Federer-David_Goffin",2015-10-30,"Roger Federer","David Goffin","Basel","Centre","Hard"
"1686","20151029-M-Basel-R16-Rafael_Nadal-Grigor_Dimitrov",2015-10-29,"Rafael Nadal","Grigor Dimitrov","Basel","Centre","Hard"
"1687","20151029-M-Basel-R16-Philipp_Kohlschreiber-Roger_Federer",2015-10-29,"Philipp Kohlschreiber","Roger Federer","Basel","Centre","Hard"
